True Value,No.,Si,Ti,Al,Cr,Fe,Ca,Mg,Mn,Na,H2O (ppm)*
,2182,7.878787879,0.93220339,2.19047619,1.5,6.391304348,6.081632653,5.609756098,3,1.717791411,23.48921148
,2183,8.575757576,0.93220339,1.666666667,0,7.695652174,6.244897959,4.658536585,3,1.472392638,15.31899176
,2184,8.121212121,1.016949153,2.30952381,1,6.47826087,6.408163265,4.756097561,3,1.349693252,23.48921148
,2185,8.060606061,1.101694915,2.238095238,0.166666667,7.652173913,6.12244898,4.658536585,4.5,1.226993865,38.12752182
,2186,8.666666667,0.254237288,1.357142857,1.5,9.52173913,2.346938776,8.780487805,4,0.858895706,29.10623754
,2187,8.393939394,0.762711864,1.80952381,1.166666667,6.782608696,6.204081633,5.243902439,3,1.288343558,21.78708238
,2188,7.909090909,1.101694915,2.166666667,0.833333333,6.130434783,6.551020408,5.219512195,3,1.411042945,25.87219224
,2189,8.848484848,0.169491525,1.523809524,0.666666667,6.869565217,6.326530612,5.146341463,3.5,1.226993865,35.06368942
,2190,8.696969697,0.762711864,1.976190476,1.666666667,5.304347826,6.06122449,5.219512195,4.5,1.595092025,25.53176642
,2191,8.333333333,0.847457627,1.857142857,0.833333333,7.260869565,6,5.341463415,2.5,1.042944785,47.99987064
,2192,7.757575758,1.016949153,2.642857143,0.833333333,6.347826087,6.020408163,5.219512195,3,1.595092025,32.51049576
,2193,8.181818182,0.847457627,2.333333333,1,5.695652174,6.653061224,4.731707317,2.5,1.472392638,44.76582534
,2194,8.272727273,0.677966102,2.19047619,1.5,5.869565217,6.489795918,4.902439024,3.5,1.533742331,18.89346289
,2195,8.636363636,0.762711864,1.571428571,0,7.304347826,6.142857143,5.195121951,3.5,1.104294479,19.91474035
,2196,8,0.677966102,2.285714286,1.166666667,6.695652174,6.102040816,5.292682927,4,1.472392638,28.25517298
,2197,8.060606061,0.847457627,2.166666667,1.166666667,7.608695652,4.734693878,6.487804878,2.5,1.288343558,40.51050256
,2198,8.090909091,1.016949153,2.285714286,0.333333333,6.695652174,5.612244898,5.682926829,3.5,1.288343558,24.51048894
